SingleFiveDoubles
0.000581
0.000378
0.000331
0.000250
0.000532
0.001024
0.000302
0.000369
0.000426
0.000298
0.000402
0.000289
0.000479
0.000384
0.000242
0.000278
0.000495
0.000304
0.000299
0.000579
0.000473
0.000666
0.000284
0.000292
0.000281
0.000307
0.000533
0.000309
0.000458
0.000432
0.000801
0.000323
0.000270
0.003579
0.000293
0.000260
0.000269
0.000262
0.000249
0.000373
0.000441
0.001419
0.000709
0.002085
0.000238
0.000246
0.000705
0.001314
0.002303
0.000350
0.000427
0.000419
0.000197
0.000193
0.000194
0.000180
0.000207
0.000182
0.000190
0.000270
0.000246
0.000195
0.000202
0.000200
0.000208
0.000230
0.000184
0.000662
0.000230
0.000278
0.000225
0.000206
0.000188
0.000201
0.000276
0.000191
0.000250
0.000185
0.000193
0.000179
0.000335
0.000225
0.000207
0.000366
0.000394
0.000167
0.000267
0.000233
0.000216
0.000224
0.000209
0.000186
0.000205
0.000432
0.000252
0.000302
0.000167
0.000206
0.000199
0.000172
